model,strategy,algorithm,run,instance,cities,status,ran,length,optimum,gap_pct,runtime_s,reported_length,refinement_rounds,input_tokens,output_tokens,generation_error
gpt,zero_shot,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.189,511.0,1.0,224.0,294.0,
gpt,zero_shot,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.096,8980.0,1.0,224.0,294.0,
gpt,zero_shot,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.089,7579.0,1.0,224.0,294.0,
gpt,zero_shot,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.09,18240.0,1.0,224.0,294.0,
gpt,zero_shot,simulated_annealing,1,eil51,51,ok,True,440.0,426,3.29,0.896,440.0,1.0,214.0,6113.0,
gpt,zero_shot,simulated_annealing,1,berlin52,52,ok,True,7542.0,7542,0.0,0.712,7542.0,1.0,214.0,6113.0,
gpt,zero_shot,simulated_annealing,1,ch130,130,ok,True,6441.0,6110,5.42,0.838,6441.0,1.0,214.0,6113.0,
gpt,zero_shot,simulated_annealing,1,d198,198,ok,True,16344.0,15780,3.57,1.342,16344.0,1.0,214.0,6113.0,
gpt,zero_shot,genetic_algorithm,1,eil51,51,ok,True,442.0,426,3.76,1.642,442.0,1.0,212.0,4722.0,
gpt,zero_shot,genetic_algorithm,1,berlin52,52,ok,True,8216.0,7542,8.94,1.348,8216.0,1.0,212.0,4722.0,
gpt,zero_shot,genetic_algorithm,1,ch130,130,ok,True,6969.0,6110,14.06,2.672,6969.0,1.0,212.0,4722.0,
gpt,zero_shot,genetic_algorithm,1,d198,198,ok,True,17518.0,15780,11.01,2.632,17518.0,1.0,212.0,4722.0,
gpt,few_shot,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.115,511.0,1.0,365.0,304.0,
gpt,few_shot,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.118,8980.0,1.0,365.0,304.0,
gpt,few_shot,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.096,7579.0,1.0,365.0,304.0,
gpt,few_shot,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.099,18240.0,1.0,365.0,304.0,
gpt,few_shot,simulated_annealing,1,eil51,51,ok,True,435.0,426,2.11,1.051,435.0,1.0,355.0,3857.0,
gpt,few_shot,simulated_annealing,1,berlin52,52,ok,True,7715.0,7542,2.29,0.963,7715.0,1.0,355.0,3857.0,
gpt,few_shot,simulated_annealing,1,ch130,130,ok,True,6262.0,6110,2.49,3.281,6262.0,1.0,355.0,3857.0,
gpt,few_shot,simulated_annealing,1,d198,198,ok,True,18240.0,15780,15.59,3.267,18240.0,1.0,355.0,3857.0,
gpt,few_shot,genetic_algorithm,1,eil51,51,ok,True,432.0,426,1.41,3.269,432.0,1.0,353.0,5172.0,
gpt,few_shot,genetic_algorithm,1,berlin52,52,ok,True,7542.0,7542,0.0,3.177,7542.0,1.0,353.0,5172.0,
gpt,few_shot,genetic_algorithm,1,ch130,130,ok,True,6540.0,6110,7.04,2.192,6540.0,1.0,353.0,5172.0,
gpt,few_shot,genetic_algorithm,1,d198,198,ok,True,16081.0,15780,1.91,2.23,16081.0,1.0,353.0,5172.0,
gpt,chain_of_thought,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.129,511.0,1.0,290.0,949.0,
gpt,chain_of_thought,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.151,8980.0,1.0,290.0,949.0,
gpt,chain_of_thought,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.097,7579.0,1.0,290.0,949.0,
gpt,chain_of_thought,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.097,18240.0,1.0,290.0,949.0,
gpt,chain_of_thought,simulated_annealing,1,eil51,51,ok,True,437.0,426,2.58,0.474,437.0,1.0,280.0,5083.0,
gpt,chain_of_thought,simulated_annealing,1,berlin52,52,ok,True,7542.0,7542,0.0,0.452,7542.0,1.0,280.0,5083.0,
gpt,chain_of_thought,simulated_annealing,1,ch130,130,ok,True,6555.0,6110,7.28,0.876,6555.0,1.0,280.0,5083.0,
gpt,chain_of_thought,simulated_annealing,1,d198,198,ok,True,16443.0,15780,4.2,1.311,16443.0,1.0,280.0,5083.0,
gpt,chain_of_thought,genetic_algorithm,1,eil51,51,ok,True,436.0,426,2.35,6.987,436.0,1.0,278.0,3731.0,
gpt,chain_of_thought,genetic_algorithm,1,berlin52,52,ok,True,7732.0,7542,2.52,7.185,7732.0,1.0,278.0,3731.0,
gpt,chain_of_thought,genetic_algorithm,1,ch130,130,ok,True,6518.0,6110,6.68,10.557,6518.0,1.0,278.0,3731.0,
gpt,chain_of_thought,genetic_algorithm,1,d198,198,ok,True,17370.0,15780,10.08,13.532,17370.0,1.0,278.0,3731.0,
gpt,iterative_refinement,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.12,511.0,1.0,224.0,277.0,
gpt,iterative_refinement,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.088,8980.0,1.0,224.0,277.0,
gpt,iterative_refinement,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.092,7579.0,1.0,224.0,277.0,
gpt,iterative_refinement,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.09,18240.0,1.0,224.0,277.0,
gpt,iterative_refinement,simulated_annealing,1,eil51,51,ok,True,440.0,426,3.29,0.354,440.0,1.0,214.0,6633.0,
gpt,iterative_refinement,simulated_annealing,1,berlin52,52,ok,True,7858.0,7542,4.19,0.385,7858.0,1.0,214.0,6633.0,
gpt,iterative_refinement,simulated_annealing,1,ch130,130,ok,True,6554.0,6110,7.27,0.735,6554.0,1.0,214.0,6633.0,
gpt,iterative_refinement,simulated_annealing,1,d198,198,ok,True,16469.0,15780,4.37,1.082,16469.0,1.0,214.0,6633.0,
gpt,iterative_refinement,genetic_algorithm,1,eil51,51,ok,True,442.0,426,3.76,6.433,442.0,1.0,212.0,2618.0,
gpt,iterative_refinement,genetic_algorithm,1,berlin52,52,ok,True,7542.0,7542,0.0,6.95,7542.0,1.0,212.0,2618.0,
gpt,iterative_refinement,genetic_algorithm,1,ch130,130,ok,True,6948.0,6110,13.72,11.95,6948.0,1.0,212.0,2618.0,
gpt,iterative_refinement,genetic_algorithm,1,d198,198,ok,True,17611.0,15780,11.6,13.476,17611.0,1.0,212.0,2618.0,
claude,zero_shot,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.116,511.0,1.0,341.0,248.0,
claude,zero_shot,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.091,8980.0,1.0,341.0,248.0,
claude,zero_shot,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.094,7579.0,1.0,341.0,248.0,
claude,zero_shot,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.092,18240.0,1.0,341.0,248.0,
claude,zero_shot,simulated_annealing,1,eil51,51,ok,True,511.0,426,19.95,0.48,511.0,1.0,328.0,891.0,
claude,zero_shot,simulated_annealing,1,berlin52,52,ok,True,8980.0,7542,19.07,0.442,8980.0,1.0,328.0,891.0,
claude,zero_shot,simulated_annealing,1,ch130,130,ok,True,7579.0,6110,24.04,0.467,7579.0,1.0,328.0,891.0,
claude,zero_shot,simulated_annealing,1,d198,198,ok,True,18240.0,15780,15.59,0.45,18240.0,1.0,328.0,891.0,
claude,zero_shot,genetic_algorithm,1,eil51,51,ok,True,460.0,426,7.98,3.677,460.0,1.0,327.0,1199.0,
claude,zero_shot,genetic_algorithm,1,berlin52,52,ok,True,8511.0,7542,12.85,3.425,8511.0,1.0,327.0,1199.0,
claude,zero_shot,genetic_algorithm,1,ch130,130,ok,True,6919.0,6110,13.24,5.21,6919.0,1.0,327.0,1199.0,
claude,zero_shot,genetic_algorithm,1,d198,198,ok,True,17881.0,15780,13.31,6.597,17881.0,1.0,327.0,1199.0,
claude,few_shot,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.136,511.0,1.0,542.0,319.0,
claude,few_shot,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.093,8980.0,1.0,542.0,319.0,
claude,few_shot,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.103,7579.0,1.0,542.0,319.0,
claude,few_shot,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.102,18240.0,1.0,542.0,319.0,
claude,few_shot,simulated_annealing,1,eil51,51,ok,True,476.0,426,11.74,0.552,476.0,1.0,529.0,1437.0,
claude,few_shot,simulated_annealing,1,berlin52,52,ok,True,8301.0,7542,10.06,0.523,8301.0,1.0,529.0,1437.0,
claude,few_shot,simulated_annealing,1,ch130,130,ok,True,6456.0,6110,5.66,0.557,6456.0,1.0,529.0,1437.0,
claude,few_shot,simulated_annealing,1,d198,198,ok,True,16754.0,15780,6.17,0.609,16754.0,1.0,529.0,1437.0,
claude,few_shot,genetic_algorithm,1,eil51,51,ok,True,443.0,426,3.99,0.595,443.0,1.0,528.0,1658.0,
claude,few_shot,genetic_algorithm,1,berlin52,52,ok,True,7991.0,7542,5.95,0.393,7991.0,1.0,528.0,1658.0,
claude,few_shot,genetic_algorithm,1,ch130,130,ok,True,6478.0,6110,6.02,0.369,6478.0,1.0,528.0,1658.0,
claude,few_shot,genetic_algorithm,1,d198,198,ok,True,16376.0,15780,3.78,0.871,16376.0,1.0,528.0,1658.0,
claude,chain_of_thought,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.114,511.0,1.0,432.0,594.0,
claude,chain_of_thought,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.097,8980.0,1.0,432.0,594.0,
claude,chain_of_thought,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.082,7579.0,1.0,432.0,594.0,
claude,chain_of_thought,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.088,18240.0,1.0,432.0,594.0,
claude,chain_of_thought,simulated_annealing,1,eil51,51,ok,True,447.0,426,4.93,0.185,447.0,1.0,419.0,2214.0,
claude,chain_of_thought,simulated_annealing,1,berlin52,52,ok,True,7841.0,7542,3.96,0.168,7841.0,1.0,419.0,2214.0,
claude,chain_of_thought,simulated_annealing,1,ch130,130,ok,True,6789.0,6110,11.11,0.183,6789.0,1.0,419.0,2214.0,
claude,chain_of_thought,simulated_annealing,1,d198,198,ok,True,16593.0,15780,5.15,0.246,16593.0,1.0,419.0,2214.0,
claude,chain_of_thought,genetic_algorithm,1,eil51,51,ok,True,455.0,426,6.81,0.495,455.0,1.0,418.0,2008.0,
claude,chain_of_thought,genetic_algorithm,1,berlin52,52,ok,True,8372.0,7542,11.01,0.569,8372.0,1.0,418.0,2008.0,
claude,chain_of_thought,genetic_algorithm,1,ch130,130,ok,True,7370.0,6110,20.62,2.693,7370.0,1.0,418.0,2008.0,
claude,chain_of_thought,genetic_algorithm,1,d198,198,ok,True,17611.0,15780,11.6,5.259,17611.0,1.0,418.0,2008.0,
claude,iterative_refinement,greedy,1,eil51,51,ok,True,511.0,426,19.95,0.094,511.0,1.0,341.0,248.0,
claude,iterative_refinement,greedy,1,berlin52,52,ok,True,8980.0,7542,19.07,0.097,8980.0,1.0,341.0,248.0,
claude,iterative_refinement,greedy,1,ch130,130,ok,True,7579.0,6110,24.04,0.103,7579.0,1.0,341.0,248.0,
claude,iterative_refinement,greedy,1,d198,198,ok,True,18240.0,15780,15.59,0.092,18240.0,1.0,341.0,248.0,
claude,iterative_refinement,simulated_annealing,1,eil51,51,ok,True,453.0,426,6.34,0.127,453.0,1.0,328.0,916.0,
claude,iterative_refinement,simulated_annealing,1,berlin52,52,ok,True,8000.0,7542,6.07,0.142,8000.0,1.0,328.0,916.0,
claude,iterative_refinement,simulated_annealing,1,ch130,130,ok,True,7269.0,6110,18.97,0.119,7269.0,1.0,328.0,916.0,
claude,iterative_refinement,simulated_annealing,1,d198,198,ok,True,18240.0,15780,15.59,0.115,18240.0,1.0,328.0,916.0,
claude,iterative_refinement,genetic_algorithm,1,eil51,51,ok,True,473.0,426,11.03,3.309,473.0,1.0,327.0,1285.0,
claude,iterative_refinement,genetic_algorithm,1,berlin52,52,ok,True,8106.0,7542,7.48,6.063,8106.0,1.0,327.0,1285.0,
claude,iterative_refinement,genetic_algorithm,1,ch130,130,ok,True,7168.0,6110,17.32,5.122,7168.0,1.0,327.0,1285.0,
claude,iterative_refinement,genetic_algorithm,1,d198,198,ok,True,17972.0,15780,13.89,5.791,17972.0,1.0,327.0,1285.0,
gpt,zero_shot,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.136,511.0,1.0,224.0,284.0,
gpt,zero_shot,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.098,8980.0,1.0,224.0,284.0,
gpt,zero_shot,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.091,7579.0,1.0,224.0,284.0,
gpt,zero_shot,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.096,18240.0,1.0,224.0,284.0,
