model,strategy,algorithm,mean_gap,std_gap,best_gap,ran_rate,mean_runtime_s
claude,chain_of_thought,genetic_algorithm,17.43,6.69,6.81,1.0,14.26
claude,chain_of_thought,greedy,21.48,4.0,15.59,1.0,0.11
claude,chain_of_thought,simulated_annealing,8.92,8.63,0.0,1.0,2.68
claude,few_shot,genetic_algorithm,64.92,152.57,0.72,1.0,6.06
claude,few_shot,greedy,21.48,4.0,15.59,1.0,0.11
claude,few_shot,simulated_annealing,8.27,3.1,3.04,1.0,1.62
claude,iterative_refinement,genetic_algorithm,15.35,5.28,7.48,1.0,5.46
claude,iterative_refinement,greedy,21.48,4.0,15.59,1.0,0.1
claude,iterative_refinement,simulated_annealing,13.1,8.92,2.44,1.0,0.42
claude,zero_shot,genetic_algorithm,15.82,5.83,7.48,1.0,10.98
claude,zero_shot,greedy,21.48,4.0,15.59,1.0,0.12
claude,zero_shot,simulated_annealing,15.24,7.97,2.82,1.0,0.84
gpt,chain_of_thought,genetic_algorithm,11.93,7.02,2.35,0.83,49.98
gpt,chain_of_thought,greedy,21.48,4.0,15.59,1.0,0.11
gpt,chain_of_thought,simulated_annealing,10.32,9.71,0.0,1.0,1.42
gpt,few_shot,genetic_algorithm,65.53,169.57,0.0,1.0,9.18
gpt,few_shot,greedy,21.48,4.0,15.59,1.0,0.1
gpt,few_shot,simulated_annealing,8.41,9.07,0.35,1.0,14.98
gpt,iterative_refinement,genetic_algorithm,8.3,8.4,0.0,1.0,6.39
gpt,iterative_refinement,greedy,21.48,4.0,15.59,1.0,0.1
gpt,iterative_refinement,simulated_annealing,9.59,8.03,1.66,1.0,0.77
gpt,zero_shot,genetic_algorithm,10.43,6.93,1.41,1.0,4.02
gpt,zero_shot,greedy,21.48,4.0,15.59,1.0,0.12
gpt,zero_shot,simulated_annealing,7.17,7.46,0.0,1.0,1.82
